HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8471","0","Automatic data processing machines and units thereof:","","","","","",""
"8471.30","1","Portable automatic data processing machines:","","","","","",""
"8471.30.01","2","Weighing not more than 10 kg","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.30.01.10","3","Laptops","[""No.""]","","","","",""
"8471.30.01.20","3","Tablets","[""No.""]","","","","",""
"8471.41","1","Comprising in the same housing at least a central processing unit and input/output units:","","","","","",""
"8471.41.01","2","Desktop computers","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.41.01.10","3","Gaming systems","[""No.""]","","","","",""
"8471.41.01.90","3","Other","[""No.""]","","","","",""
"8471.50","1","Processing units other than those of subheading 8471.41 or 8471.49:","","","","","",""
"8471.50.01","2","Central processing units","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.50.01.10","3","CPU chips","[""No.""]","","","","",""
"8471.60","1","Input or output units:","","","","","",""
"8471.60.10","2","Keyboards","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.60.10.10","3","Mechanical keyboards","[""No.""]","","","","",""
"8471.60.10.20","3","Wireless keyboards","[""No.""]","","","","",""
"8471.60.20","2","Mice and pointing devices","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.60.20.10","3","Optical mice","[""No.""]","","","","",""
"8471.60.20.20","3","Gaming mice","[""No.""]","","","","",""
"8471.60.30","2","Monitors","","2.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.60.30.10","3","LCD monitors","[""No.""]","","","","",""
"8471.60.30.20","3","LED monitors","[""No.""]","","","","",""
"8471.60.30.30","3","OLED monitors","[""No.""]","","","","",""
"8471.70","1","Storage units:","","","","","",""
"8471.70.40","2","Solid-state storage devices","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.70.40.10","3","SSD drives under 512GB","[""No.""]","","","","",""
"8471.70.40.20","3","SSD drives 512GB to 2TB","[""No.""]","","","","",""
"8471.70.40.30","3","SSD drives over 2TB","[""No.""]","","","","",""
"8471.70.50","2","Magnetic disk drives","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8471.70.50.10","3","HDD under 1TB","[""No.""]","","","","",""
"8471.70.50.20","3","HDD 1TB to 4TB","[""No.""]","","","","",""
"8471.70.50.30","3","HDD over 4TB","[""No.""]","","","","",""
"8517","0","Telephone sets and other apparatus for transmission or reception of voice:","","","","","",""
"8517.12","1","Telephones for cellular networks or for other wireless networks:","","","","","",""
"8517.12.00","2","Smartphones","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8517.12.00.10","3","5G capable","[""No.""]","","","","",""
"8517.12.00.20","3","4G/LTE","[""No.""]","","","","",""
"8517.12.00.90","3","Other","[""No.""]","","","","",""
"8517.18","1","Other telephone sets and apparatus:","","","","","",""
"8517.18.00","2","Cordless handsets","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8517.18.00.10","3","Base station with handset","[""No.""]","","","","",""
"8517.18.00.20","3","Additional handsets","[""No.""]","","","","",""
"8517.62","1","Machines for reception, conversion and transmission:","","","","","",""
"8517.62.00","2","Routers and modems","","Free","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8517.62.00.10","3","Wi-Fi 6 routers","[""No.""]","","","","",""
"8517.62.00.20","3","Cable modems","[""No.""]","","","","",""
"8517.62.00.30","3","DSL modems","[""No.""]","","","","",""
"8528","0","Monitors and projectors, not incorporating television reception apparatus:","","","","","",""
"8528.52","1","Flat panel displays:","","","","","",""
"8528.52.00","2","LCD displays","","3.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8528.52.00.10","3","Under 24 inches","[""No.""]","","","","",""
"8528.52.00.20","3","24 to 32 inches","[""No.""]","","","","",""
"8528.52.00.30","3","Over 32 inches","[""No.""]","","","","",""
"8528.59","1","Other monitors:","","","","","",""
"8528.59.00","2","OLED and other displays","","3.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8528.59.00.10","3","OLED displays","[""No.""]","","","","",""
"8528.59.00.20","3","E-ink displays","[""No.""]","","","","",""
